condition,intervention_type,alpha,trials,clear_injection_attempt_rate,generic_tool_call_rate,max_token_rate,mean_response_tokens
baseline,baseline,0.0,633,0.09004739336492891,0.020537124802527645,0.1500789889415482,466.32069510268565
fixed_layer_12_role_vector_alpha_5,fixed_layer_12_role_vector,5.0,633,0.03949447077409163,0.017377567140600316,0.11848341232227488,412.14218009478674
layer_matched_role_vector_alpha_5,layer_matched_role_vector,5.0,633,0.036334913112164295,0.018957345971563982,0.15639810426540285,506.1816745655608
