condition,trials,injection_attempt_rate,benign_tool_use_rate,mean_injection_userness_before,mean_injection_userness_after,mean_injection_userness_shift,mean_benign_userness_before,mean_benign_userness_after,mean_benign_userness_shift,clean_trials,clean_tool_use_rate,mean_clean_tool_userness_before,mean_clean_tool_userness_after,mean_clean_tool_userness_shift
baseline,60,0.16666666666666666,0.55,0.16615363180210704,0.16615363180210704,0.0,0.15262667823417306,0.15262667823417306,0.0,3,1.0,0.10703329362929276,0.10703329362929276,0.0
random_vector,60,0.2,0.5333333333333333,0.16615363180210704,0.17243549706076727,0.006281865258660232,0.15262667823417306,0.16013409907800025,0.007507420843827205,3,1.0,0.10703329362929276,0.11188253874082715,0.0048492451115343905
role_vector,60,0.16666666666666666,0.5666666666666667,0.16615363180210704,0.03054466360126038,-0.13560896820084667,0.15262667823417306,0.02508435779315593,-0.12754232044101713,3,1.0,0.10703329362929276,0.01792578687598256,-0.08910750675331021
